username,start_time,end_time,total_time_seconds,size,puzzle,result,moves,end_reason
Arpit,2026-04-07 17:22:22,2026-04-07 17:22:30,8,3,My Image,,0,app_close
Arpit,2026-04-07 17:22:20,2026-04-07 17:22:21,1,5,My Image,,0,size_change
Arpit,2026-04-07 17:22:20,2026-04-07 17:22:20,0,5,Butterfly Meadow,,0,puzzle_change
Arpit,2026-04-07 17:22:19,2026-04-07 17:22:20,0,5,Cute Cat,,0,puzzle_change
Arpit,2026-04-07 17:22:18,2026-04-07 17:22:19,0,5,Blue Bird,,0,puzzle_change
Arpit,2026-04-07 17:22:18,2026-04-07 17:22:18,0,5,Forest Lake,,0,puzzle_change
Arpit,2026-04-07 17:22:17,2026-04-07 17:22:18,0,5,Mountain Valley,,0,puzzle_change
Arpit,2026-04-07 17:22:15,2026-04-07 17:22:17,2,5,My Image,,0,puzzle_change
Arpit,2026-04-07 17:22:13,2026-04-07 17:22:15,1,4,My Image,,0,size_change
Arpit,2026-04-07 17:21:49,2026-04-07 17:22:06,16,3,My Image,win,7,win
AA,2026-04-07 15:36:21,2026-04-07 15:36:27,5,3,My Image,,3,app_close
Arpit,2026-04-07 15:28:30,2026-04-07 15:28:33,2,5,My Image,,0,app_close
Arpit,2026-04-07 15:28:21,2026-04-07 15:28:30,9,5,My Image,,6,restart
Arpit,2026-04-07 15:28:18,2026-04-07 15:28:21,2,5,My Image,,0,restart
Arpit,2026-04-07 15:28:18,2026-04-07 15:28:18,0,3,My Image,,0,size_change
Arpit,2026-04-07 15:28:17,2026-04-07 15:28:17,0,4,My Image,,0,size_change
Arpit,2026-04-07 15:28:16,2026-04-07 15:28:17,1,4,My Image,,0,size_change
Arpit,2026-04-07 15:28:15,2026-04-07 15:28:16,0,4,Butterfly Meadow,,0,puzzle_change
Arpit,2026-04-07 15:28:14,2026-04-07 15:28:15,0,4,Cute Cat,,0,puzzle_change
Arpit,2026-04-07 15:28:13,2026-04-07 15:28:14,1,5,Cute Cat,,0,size_change
Arpit,2026-04-07 15:28:12,2026-04-07 15:28:13,1,3,Cute Cat,,0,size_change
Arpit,2026-04-07 15:28:11,2026-04-07 15:28:11,0,3,Blue Bird,,0,puzzle_change
Arpit,2026-04-07 15:28:10,2026-04-07 15:28:11,0,3,Forest Lake,,0,puzzle_change
Arpit,2026-04-07 15:28:09,2026-04-07 15:28:10,0,3,Mountain Valley,,0,puzzle_change
Arpit,2026-04-07 15:27:37,2026-04-07 15:28:02,24,3,My Image,win,8,win
Arpit,2026-04-07 15:11:55,2026-04-07 15:11:59,4,3,My Image,,0,app_close
Arpit,2026-04-07 15:03:56,2026-04-07 15:04:05,8,3,My Image,,3,app_close
Anjali,2026-04-07 14:01:20,2026-04-07 14:01:21,0,3,My Image,,0,app_close
Anjali,2026-04-07 14:01:13,2026-04-07 14:01:20,7,3,My Image,,10,restart
Anjali,2026-04-07 14:01:06,2026-04-07 14:01:13,7,5,My Image,,12,size_change
Anjali,2026-04-07 14:01:04,2026-04-07 14:01:06,1,3,My Image,,0,size_change
aman,2026-04-07 14:00:04,2026-04-07 14:00:16,11,3,My Image,win,9,win
arp,2026-04-07 13:56:44,2026-04-07 13:57:01,17,3,My Image,win,9,win
